link,participants,quote,rank,rating,title
https://movie.douban.com/subject/1793929/,329636人评价,Jared Leto的腿比女人还美！,163,8.8,达拉斯买家俱乐部
https://movie.douban.com/subject/1291822/,216243人评价,当这个世界闭上双眼，他却敞开了怀抱。,164,8.9,卢旺达饭店
https://movie.douban.com/subject/1293318/,325519人评价,幸福是生生不息，却难以触及的远。 ,165,8.7,萤火虫之墓
https://movie.douban.com/subject/24750126/,306277人评价,始于荒诞，止于更荒诞。,166,8.8,荒蛮故事
https://movie.douban.com/subject/26683290/,1008462人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,167,8.4,你的名字。
https://movie.douban.com/subject/1292401/,531630人评价,爱，是个动词。,168,8.6,真爱至上
https://movie.douban.com/subject/2209573/,580274人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,169,8.6,贫民窟的百万富翁
https://movie.douban.com/subject/1291557/,417222人评价,偷情本没有这样美。,170,8.7,花样年华
https://movie.douban.com/subject/1304447/,448540人评价,一个针管引发的血案。,171,8.6,记忆碎片
https://movie.douban.com/subject/1292328/,442644人评价,电影诗。,172,8.6,东邪西毒
https://movie.douban.com/subject/25773932/,407224人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,173,8.7,爆裂鼓手
https://movie.douban.com/subject/1296996/,428330人评价,魔法的密室之门已打开...,174,8.6,哈利·波特与密室
https://movie.douban.com/subject/1978709/,641614人评价,黑暗之美。,175,8.6,黑天鹅
https://movie.douban.com/subject/1302467/,305756人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,176,8.8,黑客帝国3：矩阵革命
https://movie.douban.com/subject/1959195/,135393人评价,养狗三日，便会对你终其一生。,177,9.2,忠犬八公物语
https://movie.douban.com/subject/10463953/,442205人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,178,8.7,模仿游戏
https://movie.douban.com/subject/10533913/,426484人评价,愿我们都不用长大，每一座城堡都能永远存在。,179,8.7,头脑特工队
https://movie.douban.com/subject/10437779/,242567人评价,要做就做得狠一点，这样才能活下去。,180,8.8,新世界
https://movie.douban.com/subject/1395091/,192599人评价,好的剧本是，就算你猜到了结局也猜不到全部。,181,8.9,未麻的部屋
https://movie.douban.com/subject/4848115/,252158人评价,感情不分食草或者食肉。,182,8.9,你看起来好像很好吃
https://movie.douban.com/subject/1291870/,313775人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,183,8.7,雨人
https://movie.douban.com/subject/6534248/,389442人评价,迪士尼和皮克斯拿错剧本的产物。,184,8.7,无敌破坏王
https://movie.douban.com/subject/25895901/,290324人评价,是枝裕和的家庭习作。,185,8.8,海街日记
https://movie.douban.com/subject/1291578/,465822人评价,松鼠才是角儿。,186,8.6,冰川时代
https://movie.douban.com/subject/1309163/,485304人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,187,8.5,恋恋笔记本
https://movie.douban.com/subject/1293181/,171154人评价,故事的反转与反转，分裂电影的始祖。,188,9.0,惊魂记
https://movie.douban.com/subject/26430107/,217858人评价,有一些东西不应该被遗忘。,189,8.7,二十二
https://movie.douban.com/subject/25980443/,359630人评价,我们都有权利不与自己的过去和解。,190,8.6,海边的曼彻斯特
https://movie.douban.com/subject/3011051/,578885人评价,不要企图在重复中寻找已经失去的爱。,191,8.5,恐怖游轮
https://movie.douban.com/subject/25724855/,293014人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,192,8.8,房间
https://movie.douban.com/subject/26787574/,424494人评价,世界不完美，爱会有奇迹。,193,8.6,奇迹男孩
https://movie.douban.com/subject/1296909/,173542人评价,永远看不腻的喜剧。,194,8.9,虎口脱险
