company,method,position,post,salary,time
深圳市宇达计算机有限公司,"基本要求：,1，做事认真、细心，愿意沟通；有团队精神，能与同事和谐相处，能快速适应环境；,2，全日制大专或以上学历。有网页编辑或设计经验；,3，编辑公司网站国际版，需要有英语基础；,英文内容有专人编辑，但网站设计至少要看得懂,4，男女不限。,工作职责：,1，与公司运营推广、美工团队一起，设计和编辑网站，团队协作将项目落地；,2，积极学习，努力成长为网站负责人；,3，公司会积极培养新人。,公司福利：,1、工作时间：5天7.5小时制；五险一金；,2、法定节假日，带薪假期；,3、每周三、周五下午茶福利；,4、法定节假日有对应节假日福利；,5、年终奖丰厚，转正员工至少1个月工资。",深圳-南山区,Python开发工程师/前端/爬虫,4.5-6千/月,07-27
南京新奕天科技有限公司,"1、 明确需求类型、需求量、优先级及交付标准等内容，协调资源和相关人力，保质保量完成产品任务；,2、 与软件开发团队紧密合作，制定标注规范，推动模型实验，开发新的数据标注功能和数据管理功能；,3、 准确理解数据任务的指导说明书和验收标准，并能有效地开展培训和辅导；,4、 根据标注规范对图像视频类数据进行标注、验收，对数据质量负责；,5、 规划项目排期及及时反馈项目进度，及时预告项目风险；,6、 管理团队成员的日常任务安排；,任职资格：,1、学历要求：,-- 统招本科及以上学历；,2、能力要求：,-- 了解AI行业数据业务，掌握AI数据行业管理技巧。有AI数据采集、标注项目管理经验,-- 熟悉python，有相关数据抓取工作经验者优先；,-- 能快速理解规范，具备计算机基础操作能力，熟练使用office软件；,3、素质要求：,-- 工作踏实，态度积极，能够承受工作压力，能看到工作中影响效率的部分并提出解决或改进思路；,-- 做事认真、细致、有耐心，理解能力优秀，执行力强，服从安排；,-- 责任心强，正直诚实，值得信赖。",南京-鼓楼区,python工程师（数据标注主管）,6-8千/月,07-27
武汉小安科技有限公司,"【岗位职责】, 1. 负责服务端的开发和维护，能够独立承担前台应用的开发和迭代，满足业务需求和流量增长需求；, 2. 参与或独立承担系统的设计和开发，并根据排期要求保证系统如期上线；, 3. 能够理解业务背景，根据系统的规模或瓶颈提出优化建议，并推动拿到落地结果。,    ,【岗位要求】, 1. 本科及以上学历，3年及以上互联网/IOT行业后端开发经验；, 2. 熟练MySQL语句优化及数据库优化，了解常用RDS/KV/非RDS数据库的使用；, 3. 语言不限，有node.js高性能服务开发经验者优先；, 4. 有IOT组网开发经验者优先；, 5. 有阿里云生态开发经验者优先。",武汉-洪山区,Python高级开发工程师,1-1.5万/月,07-27
沈阳韩邦软件开发有限公司,"岗位职责：,1. 使用django进行web service开发；,2. 参与接口的设计和开发，后台数据结构的设计；,3. 不定期进行代码重构，性能调优，接口优化；,4. 通过测试驱动保证代码质量。,任职要求：,1. 计算机、通信、电子、数学、物联网等相关专业，本科以上学历；,2. 精通Python开发，3年以上Python后台开发经验；,3. 了解restful接口规范，能够设计出满足rest风格的接口；,4. 有良好的数据结构及算法基础功底，熟悉常用设计模式；,5.有良好的软件工程知识和质量意识，具备较强的系统设计能力和代码开发能力；,6. 至少熟悉一种常见的主流数据库及SQL语言；,7. 熟悉Linux系统及其开发环境，熟悉Linux基本命令。",沈阳,Python开发工程师,1-1.5万/月,07-27
成都启锋科技有限公司,"    岗位职责：,      1、主要负责Web开发和维护，会涉及到小部分爬虫和脚本的开发，以及部分数据的清洗分析,      2、负责协同开发人员完成项目开发，效率准确的完成协作；,      3、关注性能，提交报告，提升用户体验。,      岗位要求：,      1、大专及以上学历，计算机相关专业优先；,      2、能够熟练使用python，java等任意编程语言；,      3、对Django和Flask框架有基础的优先考虑；,      4、此岗位为初级岗，接受优秀应届毕业生或实习生。  ",东莞-南城区,Python开发,0.6-1.1万/月,07-27
上海岙舟信息科技有限公司,"4、具有较强的责任心和良好的沟通能力。,岗位要求：,1、3年以上Python使用经验；,2、熟练使用Flask/Django框架等；,3、有相关部署项目的经验；,4、熟悉Linux（Bash等），例如CentOS/Ubuntu；,5、熟悉Redis，MQ，MangoDB等数据库和中间件。,三、我们使用的工具,Language: Python 3.7,DB: MySQL,Version control: Git, Gitflow,Repositories: GitLab,CI/CD:  Jenkins & Docker",上海-浦东新区,Python开发工程师,1-1.5万/月,07-27
陕西厚溥教育科技有限公司,"1、计算机相关专业本科以上学历；3年以上Python开发经验;,2、精通Python开发，熟练Flask，Django, Sanic, Sqlalchemy，Celery等主流框架, 深入理解框架实现原理及特性, 熟练使用python的常用库, 熟悉网络爬虫,3、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉MySQL、Redis等，具备数据库应用、设计能力,4、具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力；,1、负责Python开发工程师人才方案实施，优化人才方案贴合企业需求；,2、按照实施方案完成教学任务，确保学员培养质量达到企业要求；,3、制定学员学习方案，提升学生学习兴趣及学习能力；,4、与项目督导协同工作提升学员学习体验，使学员达到高质量学习标准；,                                        5、负责教学产品营销工作。",西安-雁塔区,Python技术讲师,6-8千/月,07-27
邯郸市辰星网络科技有限公司,,石家庄,python开发工程师（双休+奖金）,4.5-8千/月,07-27
广东百捷教育投资有限公司,"1、遵守合作学校教学行为规范制度，执行合作学校的教学、教务的工作流程制度。,2、按照岗位标准化和岗位流程图，实施岗位教学工作。,3、负责协助完成本专业人才培养方案的制定和编写。,4、负责采集和提交岗位教学数据。,5、领导交代的其他工作事项。,1.计算机相关专业本科及以上学历；,2.2年以上Python开发经验（或授课经验），优秀者可适当放宽；,3.精通Python全栈开发,精通Django等Web框架;,4.有Python网络爬虫相关开发经验优先;,5.有授课经验优先。",广州-天河区,Python教员,0.8-1万/月,07-27
西安隶铭思拓知识产权代理服务有限...,根据公司需求做系统，需实现数据可视化。,西安-高新技术...,Python开发工程师,4.5-6千/月,07-27
